PanoDate,Longitude,Latitude,gvi,Status
2009-05,25.119039,60.205377,0.140520833,Yes
2009-05,25.119803,60.205237,0.159375,Yes
2009-05,25.119497,60.205293,0.181354167,Yes
2009-06,25.145106,60.207533,0.256979167,Yes
2009-05,25.11965,60.205265,0.292604167,Yes
2009-05,25.119348,60.205321,0.313645833,Yes
2009-05,25.119956,60.205209,0.320104167,Yes
2009-06,24.931098,60.15728,0.342395833,Yes
2009-06,24.954343,60.170017,0.406666667,Yes
2009-06,24.931847,60.157403,0.561041667,Yes
2009-06,24.945703,60.196268,0.6578125,Yes
2009-06,24.94913,60.157461,0.664375,Yes
2009-06,24.956528,60.172358,0.791770833,Yes
2009-06,24.951699,60.165689,0.804895833,Yes
2009-06,24.959546,60.171728,0.837395833,Yes
2009-06,24.927495,60.175809,0.959166667,Yes
2009-06,24.964724,60.16793,0.975520833,Yes
2009-06,24.954324,60.18166,1.158645833,Yes
2009-05,25.13536,60.20626,1.164479167,Yes
2009-06,24.946668,60.166079,1.176145833,Yes
2009-06,24.960523,60.17963,1.298229167,Yes
2009-06,24.945905,60.196285,1.3075,Yes
2009-06,24.945974,60.172045,1.321041667,Yes
2009-06,24.950213,60.180066,1.333333333,Yes
2009-06,24.930733,60.15722,1.3565625,Yes
2009-06,24.94426,60.172627,1.3984375,Yes
2009-06,24.946175,60.188191,1.4940625,Yes
2009-06,24.946568,60.18853,1.495520833,Yes
2009-06,24.948398,60.157373,1.498958333,Yes
2009-06,24.965176,60.1882,1.516875,Yes
2009-06,24.95123,60.16665,1.518229167,Yes
2009-06,24.956497,60.171647,1.550833333,Yes
2009-06,24.947689,60.166753,1.579166667,Yes
2009-06,24.920719,60.18739,1.580625,Yes
2009-06,24.927415,60.162471,1.5978125,Yes
2009-06,24.964906,60.166741,1.625416667,Yes
2009-06,24.949935,60.194152,1.625625,Yes
2009-06,24.882813,60.229952,1.696041667,Yes
2009-06,24.950533,60.15772,1.7203125,Yes
2009-06,24.934854,60.198209,1.737604167,Yes
2009-06,24.946665,60.172071,1.74625,Yes
2009-06,24.965494,60.18723,1.758229167,Yes
2009-06,24.949402,60.168612,1.783541667,Yes
2009-06,24.930244,60.172571,1.79625,Yes
2009-05,25.135636,60.20632,1.805729167,Yes
2009-06,24.965443,60.198947,1.811666667,Yes
2009-06,24.95114,60.180375,1.827708333,Yes
2009-06,24.958205,60.181221,1.836770833,Yes
2009-06,25.046216,60.230629,1.845729167,Yes
2009-06,24.946633,60.187976,1.870208333,Yes
2009-06,24.936874,60.165795,1.889895833,Yes
2009-06,24.947765,60.166059,1.904166667,Yes
2009-06,24.959179,60.174251,1.9228125,Yes
2009-06,24.947776,60.165967,1.932395833,Yes
2009-06,24.959775,60.195832,2.003229167,Yes
2009-06,24.932413,60.157496,2.0171875,Yes
2009-06,24.944841,60.156947,2.033229167,Yes
2009-06,24.927138,60.175753,2.0459375,Yes
2009-06,24.95966,60.175032,2.09875,Yes
2009-06,24.950936,60.191369,2.127291667,Yes
2009-06,24.944133,60.165759,2.170416667,Yes
2009-06,24.944655,60.156924,2.191875,Yes
2009-06,24.971167,60.188645,2.194583333,Yes
2009-06,24.950655,60.180218,2.196145833,Yes
2009-06,24.956894,60.168687,2.216666667,Yes
2009-06,24.951816,60.193386,2.237916667,Yes
2009-06,24.948719,60.163082,2.253333333,Yes
2009-06,24.951617,60.193466,2.263333333,Yes
2009-06,24.965506,60.187046,2.275208333,Yes
2009-06,24.918603,60.188303,2.302708333,Yes
2009-06,24.950134,60.179934,2.338645833,Yes
2009-06,24.96843,60.188237,2.338645833,Yes
2009-06,24.881988,60.229875,2.3440625,Yes
2009-06,24.927952,60.172426,2.355416667,Yes
2009-06,24.958129,60.174433,2.362604167,Yes
2009-06,24.95316,60.175107,2.376041667,Yes
2009-06,24.938284,60.160743,2.411041667,Yes
2009-06,24.949811,60.164589,2.4609375,Yes
2009-06,24.930207,60.15631,2.493229167,Yes
2009-06,24.944672,60.159268,2.53625,Yes
2009-05,24.996765,60.241758,2.570208333,Yes
2009-06,25.032333,60.266796,2.583333333,Yes
2009-06,25.04347,60.197101,2.646041667,Yes
2009-06,24.951224,60.191521,2.654270833,Yes
2009-06,24.961105,60.185902,2.6696875,Yes
2009-06,24.92937,60.171803,2.684375,Yes
2009-06,25.011591,60.228578,2.71625,Yes
2009-06,24.9359,60.16742,2.759479167,Yes
2009-06,24.945304,60.159295,2.761979167,Yes
2009-05,25.118785,60.205427,2.773958333,Yes
